,model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.99,quantile_0.95,quantile_0.9,quantile_0.85,quantile_0.8,quantile_0.75,quantile_0.7,quantile_0.65,quantile_0.6,quantile_0.55,quantile_0.5,quantile_0.45,quantile_0.4,quantile_0.35,quantile_0.3,quantile_0.25,quantile_0.2,quantile_0.15,quantile_0.1,quantile_0.05,quantile_0.01,quantile_0.975,quantile_0.025
0,AIpert-pwllnod,05/04/2021,1 wk ahead cum death,10/04/2021,Florida,34117.9744883813,,,,,,34357.4658385779,,,,,,,,,,34021.9274542141,,,,,,34813.898025767,33838.8771776928
1,AIpert-pwllnod,05/04/2021,2 wk ahead cum death,17/04/2021,Florida,34558.5254899306,,,,,,35212.6584080287,,,,,,,,,,34351.4616271434,,,,,,36459.3310677086,33956.8310415201
2,AIpert-pwllnod,05/04/2021,3 wk ahead cum death,24/04/2021,Florida,34975.0401056564,,,,,,36291.6691470729,,,,,,,,,,34650.1351569058,,,,,,38800.953397202,34030.9183197836
3,AIpert-pwllnod,05/04/2021,4 wk ahead cum death,01/05/2021,Florida,35368.8297565779,,,,,,37699.1215117788,,,,,,,,,,34924.3889328568,,,,,,42140.2846758851,34077.3558476092
4,AIpert-pwllnod,05/04/2021,5 wk ahead cum death,08/05/2021,Florida,35741.134312812,,,,,,39583.8870052848,,,,,,,,,,35178.5764900813,,,,,,46907.5586736462,34106.4313072236
5,AIpert-pwllnod,05/04/2021,6 wk ahead cum death,15/05/2021,Florida,36093.1259973785,,,,,,42158.3365902071,,,,,,,,,,35415.6966085886,,,,,,53717.6573522099,34124.6246039513
6,AIpert-pwllnod,05/04/2021,7 wk ahead cum death,22/05/2021,Florida,36425.9130770136,,,,,,45725.7738058679,,,,,,,,,,35637.876231015,,,,,,63449.8200795271,34136.0041136734
7,AIpert-pwllnod,05/04/2021,8 wk ahead cum death,29/05/2021,Florida,36740.5433516134,,,,,,50719.6402496868,,,,,,,,,,35846.6801190418,,,,,,77361.5618342418,34143.1198445028
