class,model,timezero,unit,target,point,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile,quantile
q,,,,,,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,BPagano-RtDriven,2021-03-07,29,1 wk ahead cum death,8618.499,8561.11402,8569.66024,8577.3001,8586.24613,8592.32127,8597.16155,8601.3194,8605.0561,8608.52035,8611.80857,8614.99053,8618.1223,8621.25407,8624.43603,8627.72425,8631.1885,8634.9252,8639.08305,8643.92333,8649.99847,8658.9445,8666.58437,8675.13058
2021-03-21,BPagano-RtDriven,2021-03-07,29,2 wk ahead cum death,8718.655,8603.6562,8620.78271,8636.0929,8654.02064,8666.19515,8675.89501,8684.22729,8691.71559,8698.65791,8705.24746,8711.62407,8717.9001,8724.17613,8730.55273,8737.14229,8744.0846,8751.5729,8759.90518,8769.60505,8781.77956,8799.70729,8815.01749,8832.14399
2021-03-28,BPagano-RtDriven,2021-03-07,29,3 wk ahead cum death,8810.413,8636.17948,8662.12768,8685.32399,8712.48613,8730.93161,8745.62777,8758.25193,8769.59737,8780.11561,8790.09937,8799.76051,8809.26926,8818.77801,8828.43913,8838.4229,8848.94113,8860.28658,8872.91073,8887.60691,8906.05239,8933.21451,8956.41084,8982.35903
2021-04-04,BPagano-RtDriven,2021-03-07,29,4 wk ahead cum death,8897.921,8660.51164,8695.86847,8727.4756,8764.48654,8789.62022,8809.64511,8826.84669,8842.30591,8856.63799,8870.24179,8883.40599,8896.36255,8909.3191,8922.48328,8936.08709,8950.41916,8965.87839,8983.07997,9003.10487,9028.23856,9065.24947,9096.85662,9132.21344
